Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2026-01-01 00:00:00,97.67,203.0,7.67,152.0,87.0,28.67,13.67,1.0,4.67,NA,NA,NA,NA,NA,NA,20.0,59.67,0.0,92.67,0.0,0.0,NA,911.0,NA
2026-01-01 01:00:00,98.25,182.25,14.25,151.75,92.25,30.5,8.75,1.0,3.5,NA,NA,NA,NA,NA,NA,19.25,63.5,0.0,236.25,0.0,0.0,NA,911.0,NA
2026-01-01 02:00:00,93.5,184.25,61.5,173.25,142.5,35.0,7.25,1.0,1.5,NA,NA,NA,NA,NA,NA,19.0,68.0,0.0,78.0,0.0,0.0,NA,910.25,NA
2026-01-01 03:00:00,86.0,167.5,4.5,85.5,49.5,22.5,5.5,0.75,6.25,NA,NA,NA,NA,NA,NA,19.0,72.75,0.0,165.75,0.0,0.0,NA,909.25,NA
2026-01-01 04:00:00,78.25,133.75,4.0,55.5,33.0,21.5,5.0,1.0,7.0,NA,NA,NA,NA,NA,NA,18.25,78.0,0.0,192.75,0.0,0.0,NA,908.5,NA
2026-01-01 05:00:00,67.0,128.0,3.75,59.25,34.75,22.0,5.0,1.0,5.25,NA,NA,NA,NA,NA,NA,18.0,81.75,0.0,184.5,0.0,0.0,NA,908.25,NA
2026-01-01 06:00:00,58.5,119.5,5.0,65.5,39.0,23.25,5.0,1.0,3.5,NA,NA,NA,NA,NA,NA,18.0,83.5,0.0,186.0,0.0,0.0,NA,908.5,NA
2026-01-01 07:00:00,52.5,113.25,5.5,66.25,40.0,23.75,5.5,1.0,2.25,NA,NA,NA,NA,NA,NA,17.5,87.0,0.0,123.75,0.0,0.0,NA,907.75,NA
2026-01-01 08:00:00,51.75,106.75,8.75,68.5,43.75,26.5,5.25,1.0,3.75,NA,NA,NA,NA,NA,NA,18.5,82.5,0.0,229.0,0.0,0.0,NA,910.25,NA
2026-01-01 09:00:00,50.5,105.5,5.5,57.25,35.25,24.25,7.0,1.0,12.5,NA,NA,NA,NA,NA,NA,20.0,72.75,0.0,274.25,0.0,0.0,NA,910.25,NA
2026-01-01 10:00:00,45.75,104.25,5.0,39.5,25.0,21.75,8.5,1.0,17.75,NA,NA,NA,NA,NA,NA,22.5,63.5,0.0,272.25,0.0,0.0,NA,909.0,NA
2026-01-01 11:00:00,44.0,100.0,4.0,31.75,20.5,21.0,7.5,0.75,19.0,NA,NA,NA,NA,NA,NA,23.75,55.75,0.0,255.75,0.0,0.0,NA,908.5,NA
2026-01-01 12:00:00,34.25,93.5,4.0,26.0,17.25,21.25,6.25,0.5,23.25,NA,NA,NA,NA,NA,NA,24.25,51.75,0.25,255.75,0.0,0.0,NA,909.0,NA
2026-01-01 13:00:00,25.33,92.33,3.33,16.67,11.75,21.67,5.0,1.0,21.67,NA,NA,NA,NA,NA,NA,25.0,46.67,0.0,251.0,0.0,0.0,NA,909.0,NA
2026-01-01 14:00:00,24.75,86.5,3.0,21.75,14.0,22.25,5.0,1.0,26.25,NA,NA,NA,NA,NA,NA,24.5,46.75,0.5,274.5,0.0,0.0,NA,910.0,NA
2026-01-01 15:00:00,25.75,80.25,4.0,24.75,16.75,21.5,4.5,0.75,23.5,NA,NA,NA,NA,NA,NA,24.75,45.25,0.25,269.75,0.0,0.0,NA,910.0,NA
2026-01-01 16:00:00,25.5,79.25,3.5,25.25,16.5,20.75,4.0,0.75,24.75,NA,NA,NA,NA,NA,NA,24.0,46.75,0.0,275.25,0.0,0.0,NA,910.25,NA
2026-01-01 17:00:00,26.0,82.25,4.75,37.5,23.75,21.0,3.5,1.0,20.5,NA,NA,NA,NA,NA,NA,23.25,49.25,0.0,278.25,0.0,0.0,NA,911.0,NA
2026-01-01 18:00:00,25.5,89.0,4.25,72.0,42.0,23.0,3.75,1.0,12.0,NA,NA,NA,NA,NA,NA,22.0,54.75,0.0,277.0,0.0,0.0,NA,911.0,NA
2026-01-01 19:00:00,25.25,108.0,3.25,68.5,39.0,22.75,4.75,1.0,13.25,NA,NA,NA,NA,NA,NA,21.0,56.25,0.0,240.25,0.0,0.0,NA,911.0,NA
2026-01-01 20:00:00,26.75,119.0,3.25,50.5,29.75,19.5,5.0,1.0,18.25,NA,NA,NA,NA,NA,NA,20.5,55.0,0.0,252.75,0.0,0.0,NA,911.0,NA
2026-01-01 21:00:00,25.5,112.25,3.25,51.25,30.0,20.25,5.0,1.0,18.25,NA,NA,NA,NA,NA,NA,19.5,56.0,0.0,270.5,0.0,0.0,NA,911.0,NA
2026-01-01 22:00:00,29.25,109.75,3.75,54.5,32.25,19.5,4.75,1.0,14.25,NA,NA,NA,NA,NA,NA,18.25,63.0,0.0,274.5,0.0,0.0,NA,911.0,NA
2026-01-01 23:00:00,30.0,113.0,4.67,57.0,34.67,18.33,4.0,1.0,9.67,NA,NA,NA,NA,NA,NA,17.33,68.67,0.0,259.0,0.0,0.0,NA,911.0,NA
2026-01-02 00:00:00,30.75,101.25,3.75,57.75,34.25,17.25,4.0,0.75,9.25,NA,NA,NA,NA,NA,NA,17.0,72.5,0.0,258.75,0.0,0.0,NA,910.0,NA
2026-01-02 01:00:00,32.0,97.75,4.0,56.75,33.5,17.5,4.0,1.0,6.5,NA,NA,NA,NA,NA,NA,16.0,78.0,0.0,278.0,0.0,0.0,NA,909.0,NA
2026-01-02 02:00:00,32.0,98.75,4.0,50.25,30.0,17.25,4.25,1.0,5.25,NA,NA,NA,NA,NA,NA,16.0,78.75,0.0,271.75,0.0,0.0,NA,909.0,NA
2026-01-02 03:00:00,30.25,86.5,4.0,58.25,34.5,17.0,4.0,0.75,4.75,NA,NA,NA,NA,NA,NA,15.25,76.75,0.0,280.5,0.0,0.0,NA,909.0,NA
2026-01-02 04:00:00,24.25,84.75,3.25,43.0,25.75,15.0,4.0,0.0,8.5,NA,NA,NA,NA,NA,NA,15.0,75.5,0.0,276.25,0.0,0.0,NA,910.0,NA
2026-01-02 05:00:00,22.5,82.75,5.0,35.75,23.5,14.5,4.0,0.0,9.75,NA,NA,NA,NA,NA,NA,15.0,77.25,0.0,279.0,0.0,0.0,NA,909.5,NA
2026-01-02 06:00:00,28.0,78.25,3.75,44.25,26.5,15.25,3.75,0.25,7.5,NA,NA,NA,NA,NA,NA,14.5,77.25,0.0,293.75,0.0,0.0,NA,909.25,NA
2026-01-02 07:00:00,27.5,73.5,5.5,51.75,32.5,16.5,3.75,0.75,6.0,NA,NA,NA,NA,NA,NA,14.25,78.5,0.0,278.5,0.0,0.0,NA,909.25,NA
2026-01-02 08:00:00,27.5,74.75,9.5,64.5,42.0,17.5,4.0,0.75,9.25,NA,NA,NA,NA,NA,NA,16.5,66.25,0.0,303.75,0.0,0.0,NA,910.75,NA
2026-01-02 09:00:00,29.0,85.0,7.0,48.33,31.75,16.67,5.0,0.0,20.0,NA,NA,NA,NA,NA,NA,19.0,57.0,1.0,303.33,0.0,0.0,NA,910.0,NA
2026-01-02 10:00:00,NA,NA,5.5,60.0,36.5,18.5,NA,0.0,NA,NA,NA,NA,NA,NA,NA,20.5,55.25,1.25,309.75,0.0,0.0,NA,910.0,NA
2026-01-02 11:00:00,NA,NA,5.67,49.67,31.33,15.67,4.0,4.33,42.0,NA,NA,NA,NA,NA,NA,22.5,54.0,1.0,330.25,0.0,0.0,NA,909.5,NA
2026-01-02 12:00:00,NA,NA,NA,NA,NA,NA,3.5,NA,51.0,NA,NA,NA,NA,NA,NA,23.0,51.5,1.25,291.75,0.0,0.0,NA,910.0,NA
2026-01-02 13:00:00,57.5,149.5,NA,NA,NA,NA,2.0,0.0,52.0,NA,NA,NA,NA,NA,NA,24.0,42.5,0.25,300.5,0.0,0.0,NA,910.0,NA
2026-01-02 14:00:00,43.75,113.5,NA,NA,NA,NA,2.75,0.0,58.0,NA,NA,NA,NA,NA,NA,24.25,41.5,0.5,288.75,0.0,0.0,NA,910.0,NA
2026-01-02 15:00:00,39.5,106.75,3.0,10.5,8.0,9.5,2.75,0.0,45.5,NA,NA,NA,NA,NA,NA,25.0,36.25,0.0,257.5,0.0,0.0,NA,910.0,NA
2026-01-02 16:00:00,27.75,105.0,3.0,11.25,8.5,7.25,2.0,0.0,57.75,NA,NA,NA,NA,NA,NA,24.25,36.25,0.25,266.0,0.0,0.0,NA,910.0,NA
2026-01-02 17:00:00,24.25,104.75,3.25,20.75,13.75,6.0,2.0,0.0,40.0,NA,NA,NA,NA,NA,NA,23.0,40.5,0.0,248.0,0.0,0.0,NA,911.0,NA
2026-01-02 18:00:00,28.0,103.0,3.25,33.0,20.5,6.25,2.0,0.0,30.25,NA,NA,NA,NA,NA,NA,21.25,44.5,0.0,266.25,0.0,0.0,NA,911.0,NA
2026-01-02 19:00:00,28.0,122.0,3.0,26.67,18.0,5.33,2.0,0.0,30.67,NA,NA,NA,NA,NA,NA,20.0,43.67,0.0,260.67,0.0,0.0,NA,911.0,NA
2026-01-02 20:00:00,25.25,122.25,3.0,29.25,18.0,6.0,3.0,0.0,27.75,NA,NA,NA,NA,NA,NA,18.75,45.25,0.0,270.25,0.0,0.0,NA,911.0,NA
2026-01-02 21:00:00,29.25,127.0,2.75,26.5,16.5,4.75,5.75,0.0,27.0,NA,NA,NA,NA,NA,NA,17.75,47.5,0.0,268.5,0.0,0.0,NA,911.0,NA
2026-01-02 22:00:00,34.0,128.75,3.25,23.5,15.25,5.0,8.0,0.0,24.5,NA,NA,NA,NA,NA,NA,16.75,52.0,0.0,270.5,0.0,0.0,NA,911.0,NA
2026-01-02 23:00:00,34.0,122.0,3.33,26.33,16.67,4.0,7.0,0.0,19.0,NA,NA,NA,NA,NA,NA,16.0,57.0,0.0,278.0,0.0,0.0,NA,911.0,NA
2026-01-03 00:00:00,38.75,123.5,3.25,27.25,17.25,4.75,5.25,0.0,13.25,NA,NA,NA,NA,NA,NA,15.0,62.0,0.0,281.0,0.0,0.0,NA,911.0,NA
2026-01-03 01:00:00,34.25,117.5,4.5,35.75,23.0,5.0,3.25,0.0,4.75,NA,NA,NA,NA,NA,NA,15.0,67.75,0.0,251.5,0.0,0.0,NA,911.0,NA
2026-01-03 02:00:00,39.0,123.5,4.0,33.25,21.0,5.75,2.0,0.0,9.75,NA,NA,NA,NA,NA,NA,15.0,77.75,0.0,307.25,0.0,0.0,NA,911.0,NA
2026-01-03 03:00:00,41.25,113.0,3.25,27.0,17.25,5.25,1.75,0.0,10.5,NA,NA,NA,NA,NA,NA,15.0,84.5,0.0,306.75,0.0,0.0,NA,910.75,NA
2026-01-03 04:00:00,47.0,112.5,5.5,32.0,21.75,6.25,2.0,0.0,5.25,NA,NA,NA,NA,NA,NA,14.5,89.25,0.0,306.5,0.0,0.0,NA,909.75,NA
2026-01-03 05:00:00,44.75,103.0,9.75,33.25,25.75,6.0,2.0,0.0,3.25,NA,NA,NA,NA,NA,NA,14.0,91.0,0.0,311.25,0.0,0.0,NA,909.0,NA
2026-01-03 06:00:00,43.0,101.75,4.5,25.5,17.25,5.25,2.0,0.0,4.25,NA,NA,NA,NA,NA,NA,14.0,92.25,0.0,300.0,0.0,0.0,NA,907.25,NA
2026-01-03 07:00:00,44.25,96.0,5.5,24.75,18.0,5.25,2.0,0.0,4.75,NA,NA,NA,NA,NA,NA,13.5,93.25,0.25,309.75,0.0,0.0,NA,908.0,NA
2026-01-03 08:00:00,47.75,98.5,7.25,22.75,18.25,5.25,2.25,0.0,11.0,NA,NA,NA,NA,NA,NA,14.5,85.5,1.25,305.75,0.0,0.0,NA,911.0,NA
2026-01-03 09:00:00,46.0,107.5,5.0,18.75,14.25,4.5,3.75,0.0,22.75,NA,NA,NA,NA,NA,NA,16.5,76.25,1.75,309.5,0.0,0.0,NA,910.5,NA
2026-01-03 10:00:00,46.0,117.25,3.75,18.75,13.25,4.75,5.0,0.0,32.5,NA,NA,NA,NA,NA,NA,18.5,67.5,1.25,316.0,0.0,0.0,NA,910.0,NA
2026-01-03 11:00:00,46.25,122.25,4.0,22.5,15.75,4.25,5.0,0.0,35.75,NA,NA,NA,NA,NA,NA,20.0,62.0,1.0,310.0,0.0,0.0,NA,910.0,NA
2026-01-03 12:00:00,50.0,126.0,3.25,18.25,12.25,5.0,4.25,0.0,45.0,NA,NA,NA,NA,NA,NA,21.0,58.0,1.0,311.25,0.0,0.0,NA,910.0,NA
2026-01-03 13:00:00,49.75,126.25,2.5,16.75,11.25,5.0,3.75,0.0,51.75,NA,NA,NA,NA,NA,NA,22.25,50.5,0.5,311.25,0.0,0.0,NA,910.0,NA
2026-01-03 14:00:00,44.0,115.0,2.5,11.0,8.25,5.0,2.5,0.0,54.0,NA,NA,NA,NA,NA,NA,22.75,46.25,0.25,290.5,0.0,0.0,NA,910.0,NA
2026-01-03 15:00:00,44.5,100.0,3.0,9.5,7.5,5.0,2.0,0.0,56.5,NA,NA,NA,NA,NA,NA,23.0,45.75,0.0,294.5,0.0,0.0,NA,910.0,NA
2026-01-03 16:00:00,34.75,99.0,2.5,12.75,9.0,5.5,1.25,0.0,55.75,NA,NA,NA,NA,NA,NA,22.5,47.5,0.0,298.25,0.0,0.0,NA,910.75,NA
2026-01-03 17:00:00,33.25,100.25,3.5,22.25,15.0,5.75,1.0,0.0,48.25,NA,NA,NA,NA,NA,NA,21.25,51.75,0.0,306.5,0.0,0.0,NA,911.0,NA
2026-01-03 18:00:00,38.25,108.0,2.75,38.0,22.75,7.0,1.75,0.0,22.75,NA,NA,NA,NA,NA,NA,19.5,58.25,0.0,285.25,0.0,0.0,NA,911.0,NA
2026-01-03 19:00:00,45.25,130.5,4.75,60.25,36.25,8.75,2.0,0.75,6.25,NA,NA,NA,NA,NA,NA,18.5,62.5,0.0,253.5,0.0,0.0,NA,911.0,NA
2026-01-03 20:00:00,49.0,160.75,13.5,68.0,47.5,10.25,2.0,1.0,2.25,NA,NA,NA,NA,NA,NA,18.0,64.75,0.0,277.5,0.0,0.0,NA,911.25,NA
2026-01-03 21:00:00,52.0,188.25,16.5,67.0,49.25,8.75,1.25,1.0,1.5,NA,NA,NA,NA,NA,NA,17.75,66.75,0.0,285.0,0.0,0.0,NA,911.25,NA
2026-01-03 22:00:00,54.25,191.5,6.25,63.5,39.25,9.0,1.25,1.0,3.0,NA,NA,NA,NA,NA,NA,17.0,69.0,0.0,294.75,0.0,0.0,NA,911.25,NA
2026-01-03 23:00:00,56.0,183.0,3.33,46.67,27.67,6.33,1.0,0.0,9.67,NA,NA,NA,NA,NA,NA,16.33,69.67,0.0,271.33,0.0,0.0,NA,911.0,NA
2026-01-04 00:00:00,45.25,170.0,2.75,33.25,20.25,5.25,1.0,0.0,13.75,NA,NA,NA,NA,NA,NA,16.0,71.0,0.0,282.0,0.0,0.0,NA,911.0,NA
2026-01-04 01:00:00,50.75,150.75,3.75,27.0,17.75,4.0,1.5,0.0,15.75,NA,NA,NA,NA,NA,NA,15.0,74.5,0.0,266.5,0.0,0.0,NA,911.0,NA
2026-01-04 02:00:00,47.25,146.25,5.5,37.0,24.5,4.75,1.5,0.0,5.5,NA,NA,NA,NA,NA,NA,14.75,79.0,0.0,295.25,0.0,0.0,NA,910.75,NA
2026-01-04 03:00:00,50.0,135.0,4.33,41.0,24.5,4.67,1.0,0.0,4.0,NA,NA,NA,NA,NA,NA,14.0,82.33,0.0,176.67,0.0,0.0,NA,909.33,NA
2026-01-04 04:00:00,48.0,128.25,2.75,31.5,19.25,4.25,1.0,0.0,14.75,NA,NA,NA,NA,NA,NA,14.0,80.0,0.0,302.5,0.0,0.0,NA,911.0,NA
2026-01-04 05:00:00,46.75,117.25,2.75,23.5,14.75,3.75,1.5,0.0,15.75,NA,NA,NA,NA,NA,NA,13.5,81.5,0.0,302.75,0.0,0.0,NA,911.0,NA
2026-01-04 06:00:00,42.5,103.0,3.0,20.0,13.25,4.0,1.0,0.0,15.0,NA,NA,NA,NA,NA,NA,13.0,83.0,0.25,296.75,0.0,0.0,NA,910.75,NA
2026-01-04 07:00:00,33.25,101.25,4.0,25.75,17.0,4.0,1.25,0.0,11.75,NA,NA,NA,NA,NA,NA,13.0,84.75,0.25,307.75,0.0,0.0,NA,910.5,NA
2026-01-04 08:00:00,41.25,104.5,8.25,28.0,21.75,4.5,2.0,0.0,13.75,NA,NA,NA,NA,NA,NA,14.0,82.0,0.75,305.75,0.0,0.0,NA,911.0,NA
2026-01-04 09:00:00,44.5,113.25,5.25,23.25,16.75,4.25,5.0,0.0,22.75,NA,NA,NA,NA,NA,NA,16.0,75.25,1.0,305.0,0.0,0.0,NA,910.5,NA
2026-01-04 10:00:00,37.5,116.25,4.75,23.0,16.25,4.0,6.0,0.0,24.0,NA,NA,NA,NA,NA,NA,18.25,67.5,1.0,306.25,0.0,0.0,NA,910.0,NA
2026-01-04 11:00:00,46.25,118.25,4.25,20.5,14.5,4.0,6.75,0.0,42.5,NA,NA,NA,NA,NA,NA,20.0,62.0,0.5,309.25,0.0,0.0,NA,910.0,NA
2026-01-04 12:00:00,49.0,124.0,3.0,16.25,11.5,4.0,4.75,0.0,53.25,NA,NA,NA,NA,NA,NA,21.75,58.25,0.75,305.5,0.0,0.0,NA,910.0,NA
2026-01-04 13:00:00,49.25,137.75,3.0,11.75,9.25,4.5,3.75,0.0,61.5,NA,NA,NA,NA,NA,NA,22.75,51.5,1.0,297.0,0.0,0.0,NA,910.0,NA
2026-01-04 14:00:00,50.5,115.5,3.0,10.5,8.0,4.75,3.0,0.0,62.25,NA,NA,NA,NA,NA,NA,23.25,45.25,0.75,296.5,0.0,0.0,NA,910.0,NA
2026-01-04 15:00:00,42.0,105.5,3.0,12.0,9.0,5.0,2.0,0.0,60.75,NA,NA,NA,NA,NA,NA,24.0,41.0,0.5,326.0,0.0,0.0,NA,910.0,NA
2026-01-04 16:00:00,39.75,94.75,1.75,11.5,7.75,5.0,2.0,0.0,64.5,NA,NA,NA,NA,NA,NA,23.0,41.5,1.0,297.25,0.0,0.0,NA,910.25,NA
2026-01-04 17:00:00,34.25,89.5,2.75,15.25,10.5,5.25,1.75,0.0,56.75,NA,NA,NA,NA,NA,NA,21.75,43.0,0.25,277.25,0.0,0.0,NA,911.0,NA
2026-01-04 18:00:00,36.0,95.75,3.25,32.0,19.75,6.5,1.0,0.0,33.25,NA,NA,NA,NA,NA,NA,20.0,50.0,0.0,270.0,0.0,0.0,NA,911.0,NA
2026-01-04 19:00:00,36.5,112.5,3.5,58.0,33.75,8.0,1.75,0.5,14.5,NA,NA,NA,NA,NA,NA,19.0,54.25,0.0,300.5,0.0,0.0,NA,911.0,NA
2026-01-04 20:00:00,47.25,156.25,7.0,67.5,42.0,9.0,2.5,1.0,8.25,NA,NA,NA,NA,NA,NA,18.5,57.5,0.0,297.75,0.0,0.0,NA,911.0,NA
2026-01-04 21:00:00,52.25,179.0,11.75,66.0,45.0,8.5,3.0,1.0,2.75,NA,NA,NA,NA,NA,NA,17.25,65.25,0.0,238.0,0.0,0.0,NA,911.0,NA
2026-01-04 22:00:00,59.75,178.5,10.25,55.0,37.75,8.0,2.5,0.25,4.25,NA,NA,NA,NA,NA,NA,16.75,68.25,0.0,282.25,0.0,0.0,NA,911.0,NA
2026-01-04 23:00:00,55.0,186.0,4.67,45.67,28.33,5.33,2.0,0.0,16.0,NA,NA,NA,NA,NA,NA,17.0,64.0,0.0,317.33,0.0,0.0,NA,911.33,NA
2026-01-05 00:00:00,60.25,152.75,2.75,24.0,15.25,4.25,2.5,0.0,30.75,NA,NA,NA,NA,NA,NA,16.0,67.0,0.0,313.75,0.0,0.0,NA,911.0,NA
2026-01-05 01:00:00,48.75,127.75,2.5,17.25,11.5,4.25,2.0,0.0,34.5,NA,NA,NA,NA,NA,NA,15.25,73.0,0.25,310.75,0.0,0.0,NA,911.0,NA
2026-01-05 02:00:00,43.75,105.5,3.25,18.25,12.25,4.25,2.0,0.0,28.0,NA,NA,NA,NA,NA,NA,14.0,79.5,0.0,320.5,0.0,0.0,NA,911.0,NA
2026-01-05 03:00:00,42.0,96.5,2.75,18.25,12.0,4.0,1.75,0.0,25.25,NA,NA,NA,NA,NA,NA,14.0,83.25,0.0,311.5,0.0,0.0,NA,910.0,NA
2026-01-05 04:00:00,40.75,87.5,2.75,14.75,10.25,4.0,1.25,0.0,24.75,NA,NA,NA,NA,NA,NA,13.0,85.5,0.25,310.0,0.0,0.0,NA,909.75,NA
2026-01-05 05:00:00,38.0,78.5,5.25,23.5,17.0,4.25,1.0,0.0,14.75,NA,NA,NA,NA,NA,NA,12.25,89.5,0.25,312.0,0.0,0.0,NA,909.0,NA
2026-01-05 06:00:00,39.75,73.0,5.5,22.5,16.25,4.0,1.0,0.0,12.0,NA,NA,NA,NA,NA,NA,11.75,90.5,0.75,312.5,0.0,0.0,NA,909.0,NA
2026-01-05 07:00:00,34.75,76.25,4.75,17.75,13.5,4.0,1.0,0.0,15.25,NA,NA,NA,NA,NA,NA,11.0,91.0,1.25,308.25,0.0,0.0,NA,909.5,NA
2026-01-05 08:00:00,34.0,80.5,6.5,21.5,17.25,3.75,1.5,0.0,17.75,NA,NA,NA,NA,NA,NA,12.0,85.5,1.5,309.0,0.0,0.0,NA,911.0,NA
2026-01-05 09:00:00,35.25,91.25,5.25,21.75,16.0,4.0,2.75,0.0,24.0,NA,NA,NA,NA,NA,NA,14.0,75.25,1.0,318.5,0.0,0.0,NA,910.5,NA
2026-01-05 10:00:00,40.0,96.75,4.25,18.5,13.25,3.5,3.0,0.0,32.75,NA,NA,NA,NA,NA,NA,16.5,67.75,1.25,328.75,0.0,0.0,NA,910.0,NA
2026-01-05 11:00:00,40.25,108.25,3.25,17.5,12.0,3.5,2.75,0.0,44.25,NA,NA,NA,NA,NA,NA,18.0,62.0,1.0,307.75,0.0,0.0,NA,910.0,NA
2026-01-05 12:00:00,45.0,112.5,2.25,15.25,10.5,3.75,2.0,0.0,54.5,NA,NA,NA,NA,NA,NA,20.0,56.25,1.0,301.0,0.0,0.0,NA,910.0,NA
2026-01-05 13:00:00,45.75,119.75,3.25,13.5,10.0,3.5,2.0,0.0,61.0,NA,NA,NA,NA,NA,NA,21.0,51.0,1.0,296.25,0.0,0.0,NA,910.0,NA
2026-01-05 14:00:00,42.0,117.0,3.33,12.0,9.33,4.33,1.67,0.0,64.33,NA,NA,NA,NA,NA,NA,21.67,47.0,1.0,300.67,0.0,0.0,NA,910.0,NA
2026-01-05 15:00:00,44.25,108.25,3.0,17.25,11.5,4.0,1.5,0.0,61.5,NA,NA,NA,NA,NA,NA,22.0,41.5,1.0,310.75,0.0,0.0,NA,910.0,NA
2026-01-05 16:00:00,48.5,111.0,3.5,20.75,14.25,4.5,2.0,0.0,55.5,NA,NA,NA,NA,NA,NA,22.0,39.5,0.75,307.5,0.0,0.0,NA,910.75,NA
2026-01-05 17:00:00,40.25,111.25,3.0,24.5,15.25,5.0,2.5,0.0,48.25,NA,NA,NA,NA,NA,NA,20.5,41.0,0.5,311.0,0.0,0.0,NA,911.0,NA
2026-01-05 18:00:00,44.33,114.33,4.0,39.0,24.33,5.0,2.33,0.0,26.0,NA,NA,NA,NA,NA,NA,18.67,45.33,0.0,331.67,0.0,0.0,NA,911.0,NA
2026-01-05 19:00:00,49.5,120.0,4.5,40.75,25.75,5.5,2.25,0.0,24.5,NA,NA,NA,NA,NA,NA,18.0,46.75,0.0,334.75,0.0,0.0,NA,911.0,NA
2026-01-05 20:00:00,61.5,146.0,3.25,37.0,22.75,5.5,2.5,0.0,25.0,NA,NA,NA,NA,NA,NA,17.5,49.5,0.0,306.0,0.0,0.0,NA,911.0,NA
2026-01-05 21:00:00,54.0,146.0,2.75,32.5,19.75,5.0,2.75,0.0,28.75,NA,NA,NA,NA,NA,NA,16.5,55.0,0.0,304.5,0.0,0.0,NA,911.0,NA
2026-01-05 22:00:00,56.75,144.25,2.5,23.5,14.5,4.75,2.5,0.0,33.75,NA,NA,NA,NA,NA,NA,15.75,58.75,0.25,309.5,0.0,0.0,NA,911.0,NA
2026-01-05 23:00:00,52.0,111.0,2.67,20.67,13.67,4.33,3.0,0.0,32.67,NA,NA,NA,NA,NA,NA,15.0,61.0,0.33,311.0,0.0,0.0,NA,911.0,NA
2026-01-06 00:00:00,44.75,89.5,3.0,20.75,13.75,4.25,4.0,0.0,29.5,NA,NA,NA,NA,NA,NA,14.75,66.0,0.5,303.5,0.0,0.0,NA,911.0,NA
2026-01-06 01:00:00,38.0,80.0,3.0,17.75,12.0,3.75,3.5,0.0,27.75,NA,NA,NA,NA,NA,NA,14.0,70.5,0.0,296.5,0.0,0.0,NA,911.0,NA
2026-01-06 02:00:00,39.0,79.5,3.0,13.5,9.75,3.25,2.5,0.0,29.75,NA,NA,NA,NA,NA,NA,13.5,73.75,0.0,300.75,0.0,0.0,NA,911.0,NA
2026-01-06 03:00:00,34.75,68.75,2.25,13.0,9.0,3.0,2.0,0.0,31.0,NA,NA,NA,NA,NA,NA,13.0,75.0,0.0,302.25,0.0,0.0,NA,911.0,NA
2026-01-06 04:00:00,31.0,63.25,3.0,19.75,13.0,3.25,2.0,0.0,26.75,NA,NA,NA,NA,NA,NA,13.0,74.75,0.0,307.5,0.0,0.0,NA,911.0,NA
2026-01-06 05:00:00,29.0,67.75,3.5,23.5,15.5,3.5,2.0,0.0,22.0,NA,NA,NA,NA,NA,NA,12.0,75.5,0.0,308.25,0.0,0.0,NA,911.0,NA
2026-01-06 06:00:00,27.0,62.5,2.75,22.25,14.25,3.25,2.0,0.0,20.25,NA,NA,NA,NA,NA,NA,12.0,74.25,0.25,309.25,0.0,0.0,NA,911.0,NA
2026-01-06 07:00:00,31.25,71.5,5.25,28.5,19.75,3.75,2.0,0.0,14.25,NA,NA,NA,NA,NA,NA,12.25,73.25,0.25,309.5,0.0,0.0,NA,911.0,NA
2026-01-06 08:00:00,38.0,82.25,6.5,29.5,21.0,3.75,3.0,0.0,18.0,NA,NA,NA,NA,NA,NA,14.0,65.75,0.25,307.5,0.0,0.0,NA,911.0,NA
2026-01-06 09:00:00,39.25,107.0,5.0,26.25,18.25,3.75,6.25,0.0,30.25,NA,NA,NA,NA,NA,NA,16.0,58.0,1.0,313.0,0.0,0.0,NA,910.0,NA
2026-01-06 10:00:00,42.5,124.0,4.25,20.0,14.25,3.25,5.5,0.0,43.0,NA,NA,NA,NA,NA,NA,18.5,52.5,1.0,316.75,0.0,0.0,NA,910.0,NA
2026-01-06 11:00:00,34.0,106.33,2.67,21.0,13.67,3.0,5.0,0.0,51.67,NA,NA,NA,NA,NA,NA,20.0,48.67,0.33,291.33,0.0,0.0,NA,909.0,NA
2026-01-06 12:00:00,37.0,109.75,2.5,14.5,10.25,3.25,5.0,0.0,63.0,NA,NA,NA,NA,NA,NA,21.5,46.0,1.0,287.75,0.0,0.0,NA,910.0,NA
2026-01-06 13:00:00,36.0,108.75,2.5,12.0,8.75,3.5,4.0,0.0,69.75,NA,NA,NA,NA,NA,NA,22.5,42.75,1.0,292.75,0.0,0.0,NA,910.0,NA
2026-01-06 14:00:00,35.25,103.25,2.25,11.0,8.0,4.0,3.5,0.0,75.25,NA,NA,NA,NA,NA,NA,23.5,38.5,1.0,290.75,0.0,0.0,NA,910.0,NA
2026-01-06 15:00:00,39.0,105.75,2.75,12.0,8.75,4.5,3.0,0.0,75.75,NA,NA,NA,NA,NA,NA,24.0,38.25,1.0,285.5,0.0,0.0,NA,910.0,NA
